Nuclide data , c:\multiplicity_tmu\nuclide_data\nuclide_decay_data.csv , 
87.74, 0.09, 2590, 185, 13400, 134, 2200000, 100000, 2.566, 0.235
24100, 30, 0.0218, 0.00109, 38.1, 0.381, 5600, 100, 0, 0
6560, 7, 1020, 51, 141, 1.41, 21000, 1000, 1, 0
14.35, 0.2, 0.05, 0.0025, 1.3, 0.013, 170, 10, 0, 0
376000, 2000, 1720, 75, 2, 0.02, 270, 10, 1.702, .036
82600000, 900000, 1779.44, 200, 0.8494, 0.008494, 1.72, 0.1, 1.7446, 0.1745
433.6, 0.5, 1.18, 0.059, 2690, 26.9, 25260.1626, 1000, 0.0017, 0.0001
2.645, 0.008, 2340000000000, 2350000000, 600000, 12000, 0, 0, 1, 0
